['2020-03-28', 119]
['2020-03-29', 2115]
['2020-03-30', 178]
['2020-03-31', 120]
['2020-04-01', 707]
['2020-04-02', 2103]
['2020-04-03', 106]
['2020-04-04', 37]
['2020-04-05', 29]
['2020-04-06', 39]
['2020-04-07', 54]
['2020-04-08', 1618]
['2020-04-09', 1504]
['2020-04-10', 353]
['2020-04-11', 1624]
